"stopped","stop_round","rep_n_per_slice","target_n","total_evals","max_U95","max_true_p","recent_novelty","N_err","Mhat","true_missing","missed_new_types_200","premature_stop","scenario","rule","replicate"
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,88,0.0227272727272727,0,0,FALSE,"safe_short_tail","fixed_budget",66
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,80,0.0375,0.0299170988014808,1,FALSE,"safe_short_tail","fixed_budget",67
TRUE,12,300,300,1500,0.0256413930826096,0.004,1,79,0.0379746835443038,0,0,FALSE,"safe_short_tail","fixed_budget",68
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,72,0.0138888888888889,0.0457991945316468,2,FALSE,"safe_short_tail","fixed_budget",69
TRUE,12,300,300,1500,0.0256413930826096,0.004,0,71,0.028169014084507,0.0181336889094548,1,FALSE,"safe_short_tail","fixed_budget",70
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,81,0.0246913580246914,0.0597949186936428,2,FALSE,"safe_short_tail","fixed_budget",71
TRUE,12,300,300,1500,0.0157145548915839,0.004,2,68,0.0294117647058824,0.0181336889094548,1,FALSE,"safe_short_tail","fixed_budget",72
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,69,0.0289855072463768,0.0210158348887922,0,FALSE,"safe_short_tail","fixed_budget",73
TRUE,12,300,300,1500,0.0157145548915839,0.004,0,82,0.0121951219512195,0.0597949186936428,2,FALSE,"safe_short_tail","fixed_budget",74
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,81,0.0123456790123457,0.0350644144871554,2,FALSE,"safe_short_tail","fixed_budget",75
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,74,0.027027027027027,0.0140485795983632,0,FALSE,"safe_short_tail","fixed_budget",76
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,78,0.0384615384615385,0,0,FALSE,"safe_short_tail","fixed_budget",77
TRUE,12,300,300,1500,0.0256413930826096,0.004,1,70,0.0142857142857143,0.0777263026762982,3,FALSE,"safe_short_tail","fixed_budget",78
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,84,0.0119047619047619,0.0181336889094548,1,FALSE,"safe_short_tail","fixed_budget",79
TRUE,12,300,300,1500,0.0433786756430037,0.004,1,65,0.0153846153846154,0.0851252115412615,2,FALSE,"safe_short_tail","fixed_budget",80
TRUE,12,300,300,1500,0.0157145548915839,0.004,2,66,0.0303030303030303,0.0368843540919098,1,FALSE,"safe_short_tail","fixed_budget",81
TRUE,12,300,300,1500,0.0157145548915839,0.004,2,79,0.0506329113924051,0,0,FALSE,"safe_short_tail","fixed_budget",82
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,73,0.0410958904109589,0.032182268507818,1,FALSE,"safe_short_tail","fixed_budget",83
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,83,0.036144578313253,0.0181336889094548,0,FALSE,"safe_short_tail","fixed_budget",84
